Player,Salary,Salary adjusted by inflation,Season
Stephen Curry,51915615,0.0,2023/24
Kevin Durant,47649433,0.0,2023/24
Nikola Jokic,47607350,0.0,2023/24
LeBron James,47607350,0.0,2023/24
Joel Embiid,47607350,0.0,2023/24
Bradley Beal,46741590,0.0,2023/24
Paul George,45640084,0.0,2023/24
Kawhi Leonard,45640084,0.0,2023/24
Giannis Antetokounmpo,45640084,0.0,2023/24
Damian Lillard,45640084,0.0,2023/24
Jimmy Butler,45183960,0.0,2023/24
Klay Thompson,43219440,0.0,2023/24
Rudy Gobert,41000000,0.0,2023/24
Fred VanVleet,40806300,0.0,2023/24
Anthony Davis,40600080,0.0,2023/24
Trae Young,40064220,0.0,2023/24
Zach LaVine,40064220,0.0,2023/24
Luka Doncic,40064220,0.0,2023/24
Tobias Harris,39270150,0.0,2023/24
Ben Simmons,37893408,0.0,2023/24
Pascal Siakam,37893408,0.0,2023/24
Kyrie Irving,37037037,0.0,2023/24
Jrue Holiday,36861707,0.0,2023/24
Karl-Anthony Towns,36016200,0.0,2023/24
Devin Booker,36016200,0.0,2023/24
Kristaps Porzingis,36016200,0.0,2023/24
CJ McCollum,35802469,0.0,2023/24
James Harden,35640000,0.0,2023/24
Darius Garland,34005250,0.0,2023/24
Ja Morant,34005250,0.0,2023/24
Zion Williamson,34005250,0.0,2023/24
Jamal Murray,33833400,0.0,2023/24
Brandon Ingram,33833400,0.0,2023/24
Michael Porter,33386850,0.0,2023/24
Shai Gilgeous-Alexander,33386850,0.0,2023/24
Donovan Mitchell,33162030,0.0,2023/24
Jayson Tatum,32600060,0.0,2023/24
Bam Adebayo,32600060,0.0,2023/24
De'Aaron Fox,32600060,0.0,2023/24
Deandre Ayton,32459438,0.0,2023/24
Jaylen Brown,31830357,0.0,2023/24
Gordon Hayward,31500000,0.0,2023/24
Chris Paul,30800000,0.0,2023/24
Domantas Sabonis,30600000,0.0,2023/24
Kyle Lowry,29682540,0.0,2023/24
Khris Middleton,29320988,0.0,2023/24
DeMar DeRozan,28600000,0.0,2023/24
Julius Randle,28226880,0.0,2023/24
Jordan Poole,27955357,0.0,2023/24
Jerami Grant,27586207,0.0,2023/24
Jaren Jackson Jr,27102202,0.0,2023/24
Tyler Herro,27000000,0.0,2023/24
Jalen Brunson,26346666,0.0,2023/24
Cameron Johnson,25679348,0.0,2023/24
Kyle Kuzma,25568182,0.0,2023/24
John Collins,25340000,0.0,2023/24
Brook Lopez,25000000,0.0,2023/24
Mike Conley,24360000,0.0,2023/24
Andrew Wiggins,24330357,0.0,2023/24
Anfernee Simons,24107143,0.0,2023/24
RJ Barrett,23883929,0.0,2023/24
Jordan Clarkson,23487629,0.0,2023/24
Terry Rozier,23205221,0.0,2023/24
Dillon Brooks,22627671,0.0,2023/24
Malcolm Brogdon,22500000,0.0,2023/24
Draymond Green,22321429,0.0,2023/24
Aaron Gordon,22266182,0.0,2023/24
Bruce Brown,22000000,0.0,2023/24
Mikal Bridges,21700000,0.0,2023/24
Myles Turner,20975000,0.0,2023/24
Clint Capela,20616000,0.0,2023/24
Lonzo Ball,20465117,0.0,2023/24
Spencer Dinwiddie,20357143,0.0,2023/24
De'Andre Hunter,20089286,0.0,2023/24
Jarrett Allen,20000000,0.0,2023/24
Jakob Poeltl,20000000,0.0,2023/24
Bojan Bogdanovic,20000000,0.0,2023/24
Keldon Johnson,20000000,0.0,2023/24
Joe Harris,19928571,0.0,2023/24
Buddy Hield,19279841,0.0,2023/24
Evan Fournier,18857143,0.0,2023/24
Bogdan Bogdanovic,18700000,0.0,2023/24
OG Anunoby,18642857,0.0,2023/24
Marcus Smart,18583713,0.0,2023/24
Gary Trent Jr,18560000,0.0,2023/24
Nikola Vucevic,18518519,0.0,2023/24
Derrick White,18357143,0.0,2023/24
Dejounte Murray,18214000,0.0,2023/24
Duncan Robinson,18154000,0.0,2023/24
Norman Powell,18000000,0.0,2023/24
Tim Hardaway Jr,17897728,0.0,2023/24
Jonathan Isaac,17400000,0.0,2023/24
Collin Sexton,17325000,0.0,2023/24
D'Angelo Russell,17307693,0.0,2023/24
Lauri Markkanen,17259999,0.0,2023/24
Marcus Morris,17116279,0.0,2023/24
Harrison Barnes,17000000,0.0,2023/24
Davis Bertans,17000000,0.0,2023/24
Markelle Fultz,17000000,0.0,2023/24
Jusuf Nurkic,16875000,0.0,2023/24
Kevin Porter,15860000,0.0,2023/24
Rui Hachimura,15740741,0.0,2023/24
Mitchell Robinson,15681818,0.0,2023/24
Kevin Huerter,15669643,0.0,2023/24
Jonas Valanciunas,15435000,0.0,2023/24
Caris LeVert,15384616,0.0,2023/24
Luguentz Dort,15277778,0.0,2023/24
Luke Kennard,14763636,0.0,2023/24
Kentavious Caldwell-Pope,14704938,0.0,2023/24
Max Strus,14487684,0.0,2023/24
Tyus Jones,14000000,0.0,2023/24
Dorian Finney-Smith,13932008,0.0,2023/24
Doug McDermott,13750000,0.0,2023/24
Anthony Edwards,13534817,0.0,2023/24
Wendell Carter,13050000,0.0,2023/24
Gary Harris,13000000,0.0,2023/24
Josh Hart,12960000,0.0,2023/24
Naz Reid,12950400,0.0,2023/24
Steven Adams,12600000,0.0,2023/24
Marvin Bagley,12500000,0.0,2023/24
Brandon Clarke,12500000,0.0,2023/24
Grant Williams,12405000,0.0,2023/24
Dennis Schroeder,12405000,0.0,2023/24
Daniel Gafford,12402000,0.0,2023/24
Kelly Olynyk,12195122,0.0,2023/24
Victor Wembanyama,12160632,0.0,2023/24
James Wiseman,12119440,0.0,2023/24
Devonte Graham,12100000,0.0,2023/24
Richaun Holmes,12046020,0.0,2023/24
Austin Reaves,12015150,0.0,2023/24
Herb Jones,12015150,0.0,2023/24
Chris Boucher,11750000,0.0,2023/24
Bobby Portis,11710818,0.0,2023/24
Nicolas Batum,11710818,0.0,2023/24
Robert Covington,11692308,0.0,2023/24
Paolo Banchero,11608080,0.0,2023/24
Robert Williams,11571429,0.0,2023/24
Coby White,11111111,0.0,2023/24
Cade Cunningham,11055360,0.0,2023/24
Talen Horton-Tucker,11020000,0.0,2023/24
PJ Tucker,11014500,0.0,2023/24
Maxi Kleber,11000000,0.0,2023/24
Joe Ingles,11000000,0.0,2023/24
Ivica Zubac,10933333,0.0,2023/24
LaMelo Ball,10900635,0.0,2023/24
Donte DiVincenzo,10900000,0.0,2023/24
Brandon Miller,10880364,0.0,2023/24
Terance Mann,10576923,0.0,2023/24
Matisse Thybulle,10500000,0.0,2023/24
Gabe Vincent,10500000,0.0,2023/24
Alec Burks,10489600,0.0,2023/24
Reggie Bullock,10489600,0.0,2023/24
Chet Holmgren,10386000,0.0,2023/24
Larry Nance Jr,10375000,0.0,2023/24
Landry Shamet,10250000,0.0,2023/24
Al Horford,10000000,0.0,2023/24
Malik Monk,9945830,0.0,2023/24
Tre Jones,9895833,0.0,2023/24
Jalen Green,9891480,0.0,2023/24
Patrick Williams,9835881,0.0,2023/24
Monte Morris,9800926,0.0,2023/24
Scoot Henderson,9770904,0.0,2023/24
Nicolas Claxton,9625000,0.0,2023/24
Jeff Green,9600000,0.0,2023/24
Royce O'Neale,9500000,0.0,2023/24
Alex Caruso,9460000,0.0,2023/24
Victor Oladipo,9450000,0.0,2023/24
Pat Connaughton,9423869,0.0,2023/24
Jabari Smith,9326520,0.0,2023/24
Isaiah Hartenstein,9245121,0.0,2023/24
Kyle Anderson,9219512,0.0,2023/24
Daniel Theis,9108386,0.0,2023/24
Grayson Allen,8925000,0.0,2023/24
Isaac Okoro,8920794,0.0,2023/24
Evan Mobley,8882640,0.0,2023/24
Amen Thompson,8809284,0.0,2023/24
Georges Niang,8800000,0.0,2023/24
Gary Payton II,8715000,0.0,2023/24
TJ McConnell,8700000,0.0,2023/24
Keegan Murray,8409000,0.0,2023/24
Delon Wright,8195122,0.0,2023/24
Onyeka Okongwu,8109063,0.0,2023/24
Scottie Barnes,8008680,0.0,2023/24
Jock Landale,8000000,0.0,2023/24
Trey Lyles,8000000,0.0,2023/24
Moritz Wagner,8000000,0.0,2023/24
De'Anthony Melton,8000000,0.0,2023/24
Thaddeus Young,8000000,0.0,2023/24
Ausar Thompson,7977420,0.0,2023/24
Miles Bridges,7921300,0.0,2023/24
Vasilije Micic,7723000,0.0,2023/24
Paul Reed,7723000,0.0,2023/24
Zach Collins,7700000,0.0,2023/24
Jaden Ivey,7614480,0.0,2023/24
Cody Martin,7560000,0.0,2023/24
Kevon Looney,7500000,0.0,2023/24
Killian Hayes,7413955,0.0,2023/24
Jalen Suggs,7252080,0.0,2023/24
Anthony Black,7245480,0.0,2023/24
Khem Birch,6985000,0.0,2023/24
Bennedict Mathurin,6916080,0.0,2023/24
Obi Toppin,6803012,0.0,2023/24
Caleb Martin,6802950,0.0,2023/24
Patrick Mills,6802950,0.0,2023/24
Danilo Gallinari,6802950,0.0,2023/24
Cedi Osman,6718842,0.0,2023/24
Bilal Coulibaly,6614256,0.0,2023/24
Josh Giddey,6587040,0.0,2023/24
Jae'Sean Tate,6500000,0.0,2023/24
Cameron Payne,6500000,0.0,2023/24
Ayo Dosunmu,6481482,0.0,2023/24
Rudy Gay,6479000,0.0,2023/24
Sasha Vezenkov,6341464,0.0,2023/24
Shaedon Sharpe,6313800,0.0,2023/24
Otto Porter,6300000,0.0,2023/24
Deni Avdija,6263188,0.0,2023/24
Nassir Little,6250000,0.0,2023/24
Jevon Carter,6190476,0.0,2023/24
Kenrich Williams,6175000,0.0,2023/24
Ricky Rubio,6146342,0.0,2023/24
Jarace Walker,6059460,0.0,2023/24
Jonathan Kuminga,6012840,0.0,2023/24
Devin Vassell,5887899,0.0,2023/24
Tyrese Haliburton,5808435,0.0,2023/24
Dyson Daniels,5784120,0.0,2023/24
JaVale McGee,5734280,0.0,2023/24
Kira Lewis,5722116,0.0,2023/24
Dean Wade,5709877,0.0,2023/24
Aaron Nesmith,5634257,0.0,2023/24
Taylor Hendricks,5569872,0.0,2023/24
Cole Anthony,5539771,0.0,2023/24
Franz Wagner,5508720,0.0,2023/24
Furkan Korkmaz,5370370,0.0,2023/24
Jeremy Sochan,5316960,0.0,2023/24
Cason Wallace,5291352,0.0,2023/24
Isaiah Stewart,5266713,0.0,2023/24
Chuma Okeke,5266712,0.0,2023/24
Davion Mitchell,5063640,0.0,2023/24
Johnny Davis,5050800,0.0,2023/24
Jalen Smith,5043773,0.0,2023/24
Jett Howard,5026824,0.0,2023/24
Aleksej Pokusevski,5009633,0.0,2023/24
Reggie Jackson,5000000,0.0,2023/24
Shake Milton,5000000,0.0,2023/24
Mason Plumlee,5000000,0.0,2023/24
Ziaire Williams,4810200,0.0,2023/24
Ousmane Dieng,4798440,0.0,2023/24
Dereck Lively,4775628,0.0,2023/24
Josh Green,4765339,0.0,2023/24
Jarred Vanderbilt,4698000,0.0,2023/24
Nickeil Alexander-Walker,4687500,0.0,2023/24
James Bouknight,4570080,0.0,2023/24
Jalen Williams,4558680,0.0,2023/24
Saddiq Bey,4556983,0.0,2023/24
Gradey Dick,4536708,0.0,2023/24
Jalen McDaniels,4516000,0.0,2023/24
Taurean Prince,4516000,0.0,2023/24
Precious Achiuwa,4379526,0.0,2023/24
Tyrese Maxey,4343920,0.0,2023/24
Josh Primo,4341600,0.0,2023/24
Jalen Duren,4330680,0.0,2023/24
Danuel House,4310250,0.0,2023/24
Jordan Hawkins,4310196,0.0,2023/24
Zeke Nnaji,4306281,0.0,2023/24
Immanuel Quickley,4171548,0.0,2023/24
Chris Duarte,4124400,0.0,2023/24
Ochai Agbaji,4114200,0.0,2023/24
Kobe Bufkin,4094244,0.0,2023/24
Payton Pritchard,4037277,0.0,2023/24
Dwight Powell,4000000,0.0,2023/24
Troy Brown,4000000,0.0,2023/24
Seth Curry,4000000,0.0,2023/24
Moses Moody,3918480,0.0,2023/24
Mark Williams,3908160,0.0,2023/24
Jaden McDaniels,3901399,0.0,2023/24
Keyonte George,3889776,0.0,2023/24
Malachi Flynn,3873024,0.0,2023/24
Desmond Bane,3845083,0.0,2023/24
Russell Westbrook,3835738,0.0,2023/24
Kevin Love,3835738,0.0,2023/24
Corey Kispert,3722040,0.0,2023/24
AJ Griffin,3712920,0.0,2023/24
Jalen Hood-Schifino,3695076,0.0,2023/24
Amir Coffey,3666667,0.0,2023/24
Alperen Sengun,3536280,0.0,2023/24
Tari Eason,3527160,0.0,2023/24
Jaime Jaquez,3510540,0.0,2023/24
Mike Muscala,3500000,0.0,2023/24
Andre Drummond,3360000,0.0,2023/24
Trey Murphy,3359280,0.0,2023/24
Brandin Podziemski,3352404,0.0,2023/24
Dalen Terry,3350760,0.0,2023/24
Cameron Whitmore,3218160,0.0,2023/24
Jake LaRavia,3199920,0.0,2023/24
Derrick Rose,3196448,0.0,2023/24
Eric Gordon,3196448,0.0,2023/24
Wesley Matthews,3196448,0.0,2023/24
Justin Holiday,3196448,0.0,2023/24
DeAndre Jordan,3196448,0.0,2023/24
Cory Joseph,3196448,0.0,2023/24
Jae Crowder,3196448,0.0,2023/24
Robin Lopez,3196448,0.0,2023/24
Cody Zeller,3196448,0.0,2023/24
Patrick Beverley,3196448,0.0,2023/24
Alex Len,3196448,0.0,2023/24
Nerlens Noel,3196448,0.0,2023/24
Garrett Temple,3196448,0.0,2023/24
Tre Mann,3191400,0.0,2023/24
Noah Clowney,3089460,0.0,2023/24
Malaki Branham,3071880,0.0,2023/24
Kai Jones,3047880,0.0,2023/24
Simone Fontecchio,3044872,0.0,2023/24
Dante Exum,3000000,0.0,2023/24
Julian Champagnie,3000000,0.0,2023/24
Jordan Nwora,3000000,0.0,2023/24
Dariq Whitehead,2966040,0.0,2023/24
Christian Braun,2949120,0.0,2023/24
Jalen Johnson,2925360,0.0,2023/24
Josh Richardson,2891467,0.0,2023/24
Montrezl Harrell,2891467,0.0,2023/24
Kris Murray,2847504,0.0,2023/24
Andrew Nicholson,2844429,0.0,2023/24
Walker Kessler,2831160,0.0,2023/24
Josh Okogie,2815937,0.0,2023/24
Keon Johnson,2808720,0.0,2023/24
Omer Yurtseven,2800000,0.0,2023/24
Dewayne Dedmon,2748674,0.0,2023/24
Olivier-Maxence Prosper,2733720,0.0,2023/24
David Roddy,2718240,0.0,2023/24
Malik Beasley,2709849,0.0,2023/24
Isaiah Jackson,2696280,0.0,2023/24
Marcus Sasser,2624028,0.0,2023/24
MarJon Beauchamp,2609400,0.0,2023/24
Charles Bassey,2600000,0.0,2023/24
Usman Garuba,2588400,0.0,2023/24
Damian Jones,2586665,0.0,2023/24
Kris Dunn,2586484,0.0,2023/24
Bruno Fernando,2581522,0.0,2023/24
Ben Sheppard,2537172,0.0,2023/24
Torrey Craig,2528233,0.0,2023/24
Thomas Bryant,2528233,0.0,2023/24
Damion Lee,2528233,0.0,2023/24
Dennis Smith,2528233,0.0,2023/24
Blake Wesley,2504640,0.0,2023/24
Josh Christopher,2485200,0.0,2023/24
Nick Smith,2463912,0.0,2023/24
Brice Sensabaugh,2448600,0.0,2023/24
Ty Jerome,2439025,0.0,2023/24
Julian Strawther,2431044,0.0,2023/24
Wendell Moore,2421720,0.0,2023/24
Kobe Brown,2413356,0.0,2023/24
Luke Kornet,2413304,0.0,2023/24
John Konchar,2400000,0.0,2023/24
Quentin Grimes,2385720,0.0,2023/24
Nikola Jovic,2352000,0.0,2023/24
Keita Bates-Diop,2346614,0.0,2023/24
Drew Eubanks,2346614,0.0,2023/24
Yuta Watanabe,2346614,0.0,2023/24
Lonnie Walker,2346614,0.0,2023/24
Aaron Holiday,2346614,0.0,2023/24
Thanasis Antetokounmpo,2346614,0.0,2023/24
Mo Bamba,2346614,0.0,2023/24
Chimezie Metu,2346614,0.0,2023/24
Patrick Baldwin,2337720,0.0,2023/24
TyTy Washington,2320440,0.0,2023/24
Jordan McLaughlin,2320000,0.0,2023/24
Bones Hyland,2306400,0.0,2023/24
Peyton Watson,2303520,0.0,2023/24
Cam Thomas,2240160,0.0,2023/24
Vlatko Cancar,2234359,0.0,2023/24
Jaden Springer,2226240,0.0,2023/24
Day'Ron Sharpe,2210040,0.0,2023/24
Santiago Aldama,2194200,0.0,2023/24
Oshae Brissett,2165000,0.0,2023/24
Jaxson Hayes,2165000,0.0,2023/24
Cam Reddish,2165000,0.0,2023/24
Darius Bazley,2165000,0.0,2023/24
Bol Bol,2165000,0.0,2023/24
Andrew Nembhard,2131905,0.0,2023/24
Kobi Simmons,2066585,0.0,2023/24
DaQuan Jeffries,2066585,0.0,2023/24
Isaiah Roby,2066585,0.0,2023/24
Goga Bitadze,2066585,0.0,2023/24
Luka Samanic,2066585,0.0,2023/24
Colby Jones,2019706,0.0,2023/24
Dalano Banton,2019706,0.0,2023/24
Duane Washington Jr,2019706,0.0,2023/24
Sandro Mamukelashvili,2019706,0.0,2023/24
Jeff Dowtin,2019706,0.0,2023/24
Garrison Mathews,2000000,0.0,2023/24
Jaylin Williams,2000000,0.0,2023/24
Caleb Houstan,2000000,0.0,2023/24
Sam Merrill,1997238,0.0,2023/24
Isaiah Joe,1997238,0.0,2023/24
Anthony Gill,1997238,0.0,2023/24
KJ Martin,1930681,0.0,2023/24
Xavier Tillman,1930681,0.0,2023/24
Naji Marshall,1930681,0.0,2023/24
Carlik Jones,1927896,0.0,2023/24
Sam Hauser,1927896,0.0,2023/24
Jericho Sims,1927896,0.0,2023/24
Jordan Goodwin,1927896,0.0,2023/24
Ishmail Wainright,1927896,0.0,2023/24
Kessler Edwards,1927896,0.0,2023/24
Haywood Highsmith,1902137,0.0,2023/24
AJ Green,1901769,0.0,2023/24
Jeremiah Robinson-Earl,1900000,0.0,2023/24
Vit Krejci,1836096,0.0,2023/24
JT Thor,1836096,0.0,2023/24
Isaiah Livers,1836096,0.0,2023/24
BJ Boston,1836096,0.0,2023/24
Jason Preston,1836096,0.0,2023/24
Isaiah Todd,1836096,0.0,2023/24
Miles McBride,1836096,0.0,2023/24
Aaron Wiggins,1836096,0.0,2023/24
EJ Liddell,1801769,0.0,2023/24
Jack White,1801769,0.0,2023/24
Orlando Robinson,1801769,0.0,2023/24
Leonard Miller,1800000,0.0,2023/24
Bryce McGowens,1719864,0.0,2023/24
Jaden Hardy,1719864,0.0,2023/24
Kennedy Chandler,1719864,0.0,2023/24
Kenneth Lofton,1719864,0.0,2023/24
Josh Minott,1719864,0.0,2023/24
Jabari Walker,1719864,0.0,2023/24
Christian Koloko,1719864,0.0,2023/24
Xavier Cooks,1719864,0.0,2023/24
Ryan Rollins,1719864,0.0,2023/24
Max Christie,1719864,0.0,2023/24
Jalen Pickett,1708143,0.0,2023/24
Julian Phillips,1600000,0.0,2023/24
Eric Bledsoe,1300000,0.0,2023/24
Jordan Walsh,1119563,0.0,2023/24
Hunter Tyson,1119563,0.0,2023/24
Trayce Jackson-Davis,1119563,0.0,2023/24
Maxwell Lewis,1119563,0.0,2023/24
Andre Jackson Jr,1119563,0.0,2023/24
Chris Livingston,1119563,0.0,2023/24
Filip Petrusev,1119563,0.0,2023/24
Sidy Cissoko,1119563,0.0,2023/24
Armaan Franklin,1119563,0.0,2023/24
Andrew Funk,1119563,0.0,2023/24
Tosan Evbuomwan,1119563,0.0,2023/24
Joshua Obiesie,1119563,0.0,2023/24
Jazian Gortman,1119563,0.0,2023/24
Jacob Toppin,1119563,0.0,2023/24
Toumani Camara,1119563,0.0,2023/24
Rayan Rupert,1119563,0.0,2023/24
Mouhamadou Gueye,1119563,0.0,2023/24
Kevin Obanor,1119563,0.0,2023/24
Nathan Knight,940500,0.0,2023/24
Nik Stauskas,702311,0.0,2023/24
Juwan Morgan,576230,0.0,2023/24
Leaky Black,559782,0.0,2023/24
Craig Porter,559782,0.0,2023/24
Alex Fudge,559782,0.0,2023/24
Omari Moore,559782,0.0,2023/24
Jaylen Clark,559782,0.0,2023/24
Jaylen Martin,559782,0.0,2023/24
Seth Lundy,559782,0.0,2023/24
Miles Norris,559782,0.0,2023/24
JD Davison,559782,0.0,2023/24
Jay Scrubb,559782,0.0,2023/24
Armoni Brooks,559782,0.0,2023/24
Jalen Wilson,559782,0.0,2023/24
Amari Bailey,559782,0.0,2023/24
Xavier Sneed,559782,0.0,2023/24
Onuralp Bitim,559782,0.0,2023/24
Adama Sanogo,559782,0.0,2023/24
Emoni Bates,559782,0.0,2023/24
Isaiah Mobley,559782,0.0,2023/24
AJ Lawson,559782,0.0,2023/24
Mike Miles,559782,0.0,2023/24
Collin Gillespie,559782,0.0,2023/24
Jay Huff,559782,0.0,2023/24
Braxton Key,559782,0.0,2023/24
Malcolm Cazalon,559782,0.0,2023/24
Jared Rhoden,559782,0.0,2023/24
Lester Quinones,559782,0.0,2023/24
Darius Days,559782,0.0,2023/24
Trevor Hudgins,559782,0.0,2023/24
Kendall Brown,559782,0.0,2023/24
Oscar Tshiebwe,559782,0.0,2023/24
Isaiah Wong,559782,0.0,2023/24
Moussa Diabate,559782,0.0,2023/24
Colin Castleton,559782,0.0,2023/24
D'Moi Hodge,559782,0.0,2023/24
Jacob Gilyard,559782,0.0,2023/24
Vince Williams Jr,559782,0.0,2023/24
Jamaree Bouyea,559782,0.0,2023/24
Dru Smith,559782,0.0,2023/24
Lindell Wigginton,559782,0.0,2023/24
Luka Garza,559782,0.0,2023/24
Dereon Seabron,559782,0.0,2023/24
Dylan Windler,559782,0.0,2023/24
Keyontae Johnson,559782,0.0,2023/24
Kevon Harris,559782,0.0,2023/24
Ricky Council,559782,0.0,2023/24
Terquavion Smith,559782,0.0,2023/24
Azuolas Tubelis,559782,0.0,2023/24
Saben Lee,559782,0.0,2023/24
Ibou Badji,559782,0.0,2023/24
John Butler,559782,0.0,2023/24
Keon Ellis,559782,0.0,2023/24
Jalen Slawson,559782,0.0,2023/24
Dominick Barlow,559782,0.0,2023/24
Sir'Jabari Rice,559782,0.0,2023/24
Javon Freedom-Liberty,559782,0.0,2023/24
Ron Harper Jr,559782,0.0,2023/24
Markquis Nowell,559782,0.0,2023/24
Joey Hauser,559782,0.0,2023/24
Johnny Juzang,559782,0.0,2023/24
Micah Potter,559782,0.0,2023/24
Jared Butler,559782,0.0,2023/24
Eugene Omoruyi,559782,0.0,2023/24
Malik Fitts,555217,0.0,2023/24
Didi Louzada,268032,0.0,2023/24
Stephen Curry,45780966,49928610.0,2021/22
John Wall,44310840,48325294.0,2021/22
James Harden,44310840,48325294.0,2021/22
Russell Westbrook,44211146,48216568.0,2021/22
Kevin Durant,42018900,45825710.0,2021/22
LeBron James,41180544,44911401.0,2021/22
Paul George,39344970,42909529.0,2021/22
Kawhi Leonard,39344900,42909452.0,2021/22
Giannis Antetokounmpo,39344900,42909452.0,2021/22
Damian Lillard,39344900,42909452.0,2021/22
Klay Thompson,37980720,41421681.0,2021/22
Jimmy Butler,36016200,39279180.0,2021/22
Tobias Harris,35995950,39257095.0,2021/22
Khris Middleton,35500000,38716214.0,2021/22
Anthony Davis,35361360,38565013.0,2021/22
Rudy Gobert,35344828,38546983.0,2021/22
Kyrie Irving,35328700,38529394.0,2021/22
Kemba Walker,34967442,38135407.0,2021/22
Bradley Beal,33724200,36779530.0,2021/22
Ben Simmons,33003936,35994012.0,2021/22
Pascal Siakam,33003936,35994012.0,2021/22
Blake Griffin,32405817,35341704.0,2021/22
Karl-Anthony Towns,31650600,34518067.0,2021/22
Devin Booker,31650600,34518067.0,2021/22
Kristaps Porzingis,31650600,34518067.0,2021/22
Andrew Wiggins,31579390,34440406.0,2021/22
Joel Embiid,31579390,34440406.0,2021/22
Kevin Love,31258256,34090178.0,2021/22
Jrue Holiday,31171333,33995380.0,2021/22
Nikola Jokic,31044906,33857499.0,2021/22
CJ McCollum,30864198,33660419.0,2021/22
Chris Paul,30800000,33590405.0,2021/22
D'Angelo Russell,30013500,32732650.0,2021/22
Gordon Hayward,29925000,32636132.0,2021/22
Jamal Murray,29467800,32137511.0,2021/22
Brandon Ingram,29467800,32137511.0,2021/22
Jayson Tatum,28103500,30649609.0,2021/22
Bam Adebayo,28103500,30649609.0,2021/22
De'Aaron Fox,28103500,30649609.0,2021/22
Donovan Mitchell,28103500,30649609.0,2021/22
Al Horford,27000000,29446134.0,2021/22
Kyle Lowry,26984128,29428824.0,2021/22
Jaylen Brown,26758928,29183222.0,2021/22
DeMar DeRozan,26000000,28355537.0,2021/22
Draymond Green,24026712,26203473.0,2021/22
Nikola Vucevic,24000000,26174341.0,2021/22
Buddy Hield,23073234,25163613.0,2021/22
John Collins,23000000,25083744.0,2021/22
Malcolm Brogdon,21700000,23665967.0,2021/22
Tim Hardaway Jr,21306816,23237161.0,2021/22
Mike Conley,21000000,22902549.0,2021/22
Gary Harris,20932143,22828544.0,2021/22
Danilo Gallinari,20475000,22329985.0,2021/22
Harrison Barnes,20284091,22121780.0,2021/22
Jerami Grant,20002500,21814678.0,2021/22
Jarrett Allen,20000000,21811951.0,2021/22
Julius Randle,19800000,21593832.0,2021/22
Fred VanVleet,19675926,21458517.0,2021/22
Zach LaVine,19500000,21266652.0,2021/22
Goran Dragic,19348907,21101870.0,2021/22
Spencer Dinwiddie,19314284,21064111.0,2021/22
Bojan Bogdanovic,18700000,20394174.0,2021/22
Lonzo Ball,18604651,20290187.0,2021/22
Domantas Sabonis,18500000,20176055.0,2021/22
Eric Gordon,18218818,19869398.0,2021/22
Eric Bledsoe,18125000,19767081.0,2021/22
Bogdan Bogdanovic,18000000,19630756.0,2021/22
Myles Turner,18000000,19630756.0,2021/22
Terry Rozier,17905263,19527436.0,2021/22
Ricky Rubio,17800000,19412636.0,2021/22
Clint Capela,17603448,19198277.0,2021/22
Caris LeVert,17500000,19085457.0,2021/22
Jonathan Isaac,17400000,18976397.0,2021/22
Joe Harris,17357143,18929658.0,2021/22
Evan Fournier,17142857,18695958.0,2021/22
Steven Adams,17073171,18619958.0,2021/22
Markelle Fultz,16500000,17994860.0,2021/22
Aaron Gordon,16409091,17895714.0,2021/22
Gary Trent Jr,16225000,17694945.0,2021/22
OG Anunoby,16071429,17527461.0,2021/22
Davis Bertans,16000000,17449561.0,2021/22
Lauri Markkanen,15690909,17112467.0,2021/22
Derrick White,15678571,17099011.0,2021/22
Duncan Robinson,15650000,17067852.0,2021/22
Marcus Morris,15627907,17043757.0,2021/22
Will Barton,15625000,17040587.0,2021/22
Norman Powell,15517242,16923066.0,2021/22
Dejounte Murray,15428880,16826699.0,2021/22
Malik Beasley,14491964,15804900.0,2021/22
Patrick Beverley,14320987,15618433.0,2021/22
Thaddeus Young,14190000,15475579.0,2021/22
Jonas Valanciunas,14000000,15268366.0,2021/22
Marcus Smart,13839285,15093090.0,2021/22
Doug McDermott,13750000,14995716.0,2021/22
Christian Wood,13666667,14904833.0,2021/22
Derrick Rose,13445120,14663215.0,2021/22
Luke Kennard,13347727,14556998.0,2021/22
Taurean Prince,13334375,14542437.0,2021/22
Brook Lopez,13302325,14507483.0,2021/22
Kentavious Caldwell-Pope,13038862,14220151.0,2021/22
Joe Ingles,13036364,14217427.0,2021/22
Kyle Kuzma,13000000,14177768.0,2021/22
Robert Covington,12975471,14151017.0,2021/22
TJ Warren,12940000,14112332.0,2021/22
Deandre Ayton,12632950,13777464.0,2021/22
Terrence Ross,12500000,13632469.0,2021/22
Jordan Clarkson,12420000,13545221.0,2021/22
Dillon Brooks,12200000,13305290.0,2021/22
Kelly Olynyk,12195122,13299970.0,2021/22
Nicolas Batum,12026998,13116613.0,2021/22
Kelly Oubre,12000000,13087170.0,2021/22
Jusuf Nurkic,12000000,13087170.0,2021/22
Josh Hart,12000000,13087170.0,2021/22
Josh Richardson,11615328,12667648.0,2021/22
Marvin Bagley,11312114,12336964.0,2021/22
DeAndre Jordan,11109327,12115804.0,2021/22
Dwight Powell,11080125,12083957.0,2021/22
Devonte Graham,11000000,11996573.0,2021/22
Zion Williamson,10733400,11705820.0,2021/22
